"vehicle_id","year","make","model","description","body_style","drivetrain","mileage.value","mileage.unit","URL","title","price","state_of_vehicle","exterior_color","address.addr1","address.city","address.region","address.country","latitude","longitude","sale_price","fueltype","yardname","image[0].url","custom_label_0","custom_label_1"
"165148","2025","Ford","Ranger","2025 Ford Ranger Stormtrak Hybrid 2.3L Petrol PHEV 3500kg Towing","Other","4X4","9009","KM","https://www.avoncityford.com/vehicles/stock/144091/1002/ford-ranger-stormtrak-hybrid-2-3l-petrol-phev-3500kg-towing","2025 Ford Ranger Stormtrak Hybrid 2.3L Petrol PHEV 3500kg Towing","78990 NZD","USED","Agate Black","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Plugin Petrol Hybrid","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=96002112&w=500&h=375&l=true","",""
"41644","2026","Ford","Escape","2026 Ford Escape Titanium 2.5 L Hybrid","SUV","FWD","1000","KM","https://www.avoncityford.com/vehicles/stock/144017/1002/ford-escape-titanium-2-5-l-hybrid","2026 Ford Escape Titanium 2.5 L Hybrid","51990 NZD","USED","Bursting Green","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Petrol Hybrid","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=94569075&w=500&h=375&l=true","",""
"165242","2026","Ford","Ranger","2026 Ford Ranger XLT 2.0L Bi Turbo Diesel Double Cab 4X4","Other","","3114","KM","https://www.avoncityford.com/vehicles/stock/147491/1077/ford-ranger-xlt-2-0l-bi-turbo-diesel-double-cab-4x4","2026 Ford Ranger XLT 2.0L Bi Turbo Diesel Double Cab 4X4","60990 NZD","USED","Blue Lightening","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Diesel","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=94603647&w=500&h=375&l=true","",""
"708789","2026","Ford","Ranger","2026 Ford Ranger XLT 2.0 Bi Turbo Diesel Double cab 4WD","Other","4X4","9421","KM","https://www.avoncityford.com/vehicles/stock/146105/1002/ford-ranger-xlt-2-0-bi-turbo-diesel-double-cab-4wd","2026 Ford Ranger XLT 2.0 Bi Turbo Diesel Double cab 4WD","52990 NZD","USED","Blue Lightning","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Diesel","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=95728287&w=500&h=375&l=true","",""
"16275","2025","Ford","Puma","2025 Ford Puma St-Line 1.0L Mid Hybrid","SUV","Front Wheel Drive","9755","KM","https://www.avoncityford.com/vehicles/stock/147075/1077/ford-puma-st-line-1-0l-mid-hybrid","2025 Ford Puma St-Line 1.0L Mid Hybrid","33990 NZD","USED","Frozen White","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Petrol Hybrid","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=95916645&w=500&h=375&l=true","",""
"77783","2026","Ford","Puma","2026 Ford Puma St-Line 1.0L Mid Hybrid","SUV","FWD","6792","KM","https://www.avoncityford.com/vehicles/stock/147451/1002/ford-puma-st-line-1-0l-mid-hybrid","2026 Ford Puma St-Line 1.0L Mid Hybrid","35990 NZD","USED","Frozen White","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Petrol Hybrid","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=96390539&w=500&h=375&l=true","",""
"36186","2026","Ford","Puma","2026 Ford Puma St-Line 1.0L Mid Hybrid","SUV","FWD","4134","KM","https://www.avoncityford.com/vehicles/stock/147452/1002/ford-puma-st-line-1-0l-mid-hybrid","2026 Ford Puma St-Line 1.0L Mid Hybrid","35990 NZD","USED","Fantastic Red","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Petrol Hybrid","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=96914085&w=500&h=375&l=true","",""
"09343","2026","Ford","Puma","2026 Ford Puma St-Line 1.0L Mid Hybrid","SUV","FWD","3933","KM","https://www.avoncityford.com/vehicles/stock/147076/1077/ford-puma-st-line-1-0l-mid-hybrid","2026 Ford Puma St-Line 1.0L Mid Hybrid","35990 NZD","USED","Frozen White","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Petrol Hybrid","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=96918425&w=500&h=375&l=true","",""
"165553","2026","Ford","Ranger","2026 Ford Ranger Wildtrak 3.0 V6 Turbo Diesel 4wD","Other","","2500","KM","https://www.avoncityford.com/vehicles/stock/147359/1002/ford-ranger-wildtrak-3-0-v6-turbo-diesel-4wd","2026 Ford Ranger Wildtrak 3.0 V6 Turbo Diesel 4wD","82990 NZD","USED","BLACK","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","79990 NZD","Diesel","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=96838911&w=500&h=375&l=true","SALE",""
"70459","2026","Ford","Escape","2026 Ford Escape St-Line X AWD FHEV","SUV","All Wheel Drive","6357","KM","https://www.avoncityford.com/vehicles/stock/147398/1002/ford-escape-st-line-x-awd-fhev","2026 Ford Escape St-Line X AWD FHEV","56990 NZD","USED","Frozen White","Corner Main South Road & Epsom Road<br/>Sockburn<br/>Christchurch","Christchurch","Canterbury","New Zealand","","","","Petrol, Hybrid","Demo Cars","https://dataapi.autoplay.co.nz/image.ashx?id=96877023&w=500&h=375&l=true","",""
